epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.51949,1.33138,3.00163,1.72311,0.01328,0.99099,0.31986,0.18065,1.15382,2.98204,1.65993,0.000463798,0.000463798,0.000463798
2,14.361,1.36334,2.36774,1.74695,0.56452,0.14663,0.2002,0.08208,1.54454,2.83485,2.05169,0.000893595,0.000893595,0.000893595
3,20.0167,1.44439,2.10443,1.78093,0.79656,0.16667,0.22917,0.08307,1.98676,3.46637,2.72098,0.00127623,0.00127623,0.00127623
4,25.5791,1.4257,2.07675,1.76811,0.50294,0.21366,0.11849,0.03514,2.26097,3.66943,3.23326,0.00121679,0.00121679,0.00121679
5,31.1531,1.40729,1.9495,1.7465,0.62115,0.35236,0.42441,0.19893,1.92546,2.44586,2.41815,0.00114606,0.00114606,0.00114606
6,36.7076,1.33923,1.83573,1.69218,0.32066,0.56829,0.24702,0.11952,1.97319,3.37871,2.46391,0.00107532,0.00107532,0.00107532
7,42.3514,1.30182,1.60841,1.63216,0.48593,0.59382,0.51046,0.28992,1.71848,2.26698,2.24533,0.00100459,0.00100459,0.00100459
8,47.9569,1.27941,1.56878,1.62625,0.5817,0.67948,0.62731,0.35019,1.63088,2.32672,2.13226,0.000933851,0.000933851,0.000933851
9,53.5965,1.27505,1.45688,1.62572,0.72688,0.59943,0.68965,0.41027,1.79448,2.37614,2.27115,0.000863116,0.000863116,0.000863116
10,59.1772,1.24595,1.44477,1.58381,0.78963,0.78282,0.7978,0.4726,1.58144,1.55362,2.02966,0.00079238,0.00079238,0.00079238
11,65.3549,1.16277,1.411,1.65896,0.56546,0.56887,0.56889,0.31849,1.82677,2.34626,2.43647,0.000721645,0.000721645,0.000721645
12,71.0274,1.0746,1.15971,1.56213,0.8415,0.71543,0.74712,0.37546,1.78514,1.7327,2.25757,0.000650909,0.000650909,0.000650909
13,76.6524,1.03991,1.08522,1.52161,0.79912,0.67202,0.73813,0.50124,1.422,1.51973,1.84632,0.000580174,0.000580174,0.000580174
14,82.2689,0.98604,1.03684,1.4878,0.72339,0.75709,0.7841,0.50604,1.31047,1.23264,1.72673,0.000509438,0.000509438,0.000509438
15,87.9531,0.9802,0.9456,1.47549,0.86617,0.72717,0.82708,0.56861,1.26892,1.1789,1.67124,0.000438703,0.000438703,0.000438703
16,93.5397,0.93664,0.88066,1.4567,0.93123,0.79058,0.85224,0.60242,1.27116,1.02029,1.64893,0.000367967,0.000367967,0.000367967
17,99.1322,0.87463,0.82277,1.40395,0.93591,0.7873,0.86806,0.61697,1.27165,0.94795,1.62852,0.000297232,0.000297232,0.000297232
18,104.767,0.8265,0.73122,1.33072,0.90824,0.80266,0.84232,0.60362,1.27048,0.96731,1.67743,0.000226497,0.000226497,0.000226497
19,110.367,0.79027,0.70169,1.30622,0.91674,0.77967,0.84775,0.60456,1.18627,0.896,1.60732,0.000155761,0.000155761,0.000155761
20,116.056,0.76258,0.6853,1.29035,0.94,0.7706,0.85342,0.64552,1.15643,0.86829,1.57748,8.50255e-05,8.50255e-05,8.50255e-05
