epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.9746,1.10878,1.18005,1.45588,0.89982,0.72456,0.81472,0.55714,1.40835,1.30387,1.80055,0.000463798,0.000463798,0.000463798
2,55.9912,1.10548,1.11466,1.46054,0.7159,0.75264,0.72512,0.45751,1.52993,1.42844,1.91255,0.00093827,0.00093827,0.00093827
3,61.8152,1.18621,1.16147,1.51389,0.82499,0.72959,0.74694,0.45102,1.58796,1.55271,1.99716,0.00141086,0.00141086,0.00141086
4,67.6274,1.20382,1.20963,1.52468,0.71538,0.63925,0.64024,0.33493,1.88686,1.65698,2.42846,0.00142051,0.00142051,0.00142051
5,73.5125,1.25777,1.25561,1.59014,0.44117,0.62897,0.50265,0.29007,1.98249,2.29857,2.84893,0.00141768,0.00141768,0.00141768
6,79.2399,1.24901,1.25055,1.58321,0.63088,0.37038,0.45688,0.2652,1.6847,2.03714,2.25881,0.00141485,0.00141485,0.00141485
7,84.9494,1.18744,1.18566,1.52538,0.62062,0.69751,0.74166,0.42904,1.75251,1.51758,2.18206,0.00141202,0.00141202,0.00141202
8,90.5741,1.19336,1.14853,1.54216,0.57626,0.7107,0.64742,0.3197,1.69248,1.93691,2.10788,0.00140919,0.00140919,0.00140919
9,96.2519,1.19566,1.12387,1.53034,0.73117,0.70915,0.77223,0.48519,1.42597,1.4229,1.87314,0.00140636,0.00140636,0.00140636
10,101.881,1.22151,1.21335,1.55506,0.59783,0.63482,0.67351,0.41467,1.60061,1.40876,1.98146,0.00140354,0.00140354,0.00140354
11,107.487,1.18765,1.12623,1.5068,0.65471,0.60666,0.65338,0.37072,1.76116,2.00671,2.10677,0.00140071,0.00140071,0.00140071
12,113.153,1.1781,1.10686,1.51352,0.52214,0.50148,0.49204,0.27612,1.60671,1.64948,2.05703,0.00139788,0.00139788,0.00139788
13,118.789,1.16766,1.08253,1.50795,0.85947,0.54519,0.67823,0.34881,1.86417,1.59915,2.33697,0.00139505,0.00139505,0.00139505
14,124.494,1.16725,1.08252,1.5217,0.63789,0.54893,0.62539,0.41812,1.47789,1.56824,1.92847,0.00139222,0.00139222,0.00139222
15,130.236,1.18248,1.111,1.51661,0.86283,0.62326,0.74629,0.49712,1.44973,1.19896,1.84764,0.00138939,0.00138939,0.00138939
16,136.017,1.15211,1.07272,1.50772,0.76482,0.65336,0.75253,0.51953,1.46552,1.34791,1.80056,0.00138656,0.00138656,0.00138656
17,141.822,1.13723,1.0315,1.48501,0.68464,0.64262,0.69911,0.4502,1.58742,1.45689,1.98744,0.00138373,0.00138373,0.00138373
18,147.647,1.1456,1.04817,1.48122,0.5572,0.67836,0.6948,0.41769,1.66714,1.31032,2.12308,0.0013809,0.0013809,0.0013809
19,153.503,1.13956,1.04373,1.49434,0.62135,0.6377,0.66221,0.42999,1.61097,1.63154,2.01556,0.00137807,0.00137807,0.00137807
20,159.246,1.11022,1.00948,1.47457,0.78188,0.75284,0.7702,0.5325,1.39746,1.25818,1.84224,0.00137524,0.00137524,0.00137524
21,165.083,1.08934,0.98402,1.43592,0.86278,0.74326,0.77946,0.49282,1.4601,1.31347,1.87186,0.00137241,0.00137241,0.00137241
22,170.872,1.06801,0.94113,1.43497,0.85594,0.7222,0.82608,0.54422,1.36465,1.33684,1.79458,0.00136958,0.00136958,0.00136958
23,176.696,1.10216,0.9689,1.46318,0.81133,0.69765,0.77445,0.47625,1.63592,1.2869,2.04434,0.00136675,0.00136675,0.00136675
